time,velocity
30.000000,48.543768
30.000000,49.999172
30.000000,50.000000
30.000000,49.969644
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,49.998818
30.000000,50.000000
35.000000,49.805680
35.000000,49.999903
35.000000,50.000000
35.000000,50.000000
35.000000,50.000000
35.000000,49.999774
35.000000,43.977294
35.000000,49.433313
35.000000,50.000000
35.000000,50.000000
35.000000,49.999873
35.000000,50.000000
35.000000,50.000000
35.000000,50.000000
35.000000,50.000000
35.000000,50.000000
35.000000,50.000000
35.000000,50.000000
35.000000,49.998800
35.000000,49.852371
35.000000,50.000000
35.000000,50.000000
35.000000,49.647968
35.000000,49.809864
35.000000,50.000000
35.000000,49.581505
35.000000,49.436111
35.000000,48.125574
35.000000,49.998139
35.000000,49.906668
35.000000,50.000000
35.000000,50.000000
35.000000,50.000000
35.000000,50.000000
35.000000,49.934383
35.000000,50.000000
35.000000,49.959012
35.000000,49.943682
35.000000,50.000000
35.000000,50.000000
35.000000,50.000000
35.000000,50.000000
35.000000,49.999249
35.000000,50.000000
35.000000,50.000000
35.000000,49.815239
35.000000,49.999276
35.000000,44.389955
35.000000,49.588028
35.000000,50.000000
35.000000,50.000000
35.000000,50.000000
35.000000,50.000000
35.000000,50.000000
35.000000,45.853379
35.000000,50.000000
35.000000,42.001261
35.000000,49.799733
35.000000,50.000000
35.000000,49.742698
35.000000,49.944688
35.000000,45.187391
35.000000,50.000000
35.000000,50.000000
35.000000,50.000000
35.000000,50.000000
35.000000,42.791469
35.000000,49.989057
35.000000,49.364715
35.000000,50.000000
35.000000,49.996447
35.000000,49.999563
35.000000,50.000000
35.000000,49.967697
35.000000,49.534657
35.000000,50.000000
35.000000,32.274608
35.000000,50.000000
35.000000,50.000000
35.000000,49.994191
35.000000,48.872741
35.000000,49.994255
35.000000,49.998942
35.000000,49.867867
35.000000,50.000000
35.000000,48.634535
35.000000,49.818055
35.000000,50.000000
35.000000,49.957650
35.000000,49.899908
35.000000,50.000000
35.000000,49.849488
35.000000,49.999995
35.000000,50.000000
35.000000,50.000000
35.000000,50.000000
35.000000,49.942916
35.000000,46.487554
35.000000,49.999875
35.000000,49.983036
35.000000,49.984792
35.000000,7.456138
35.000000,49.958875
35.000000,50.000000
35.000000,49.985849
35.000000,49.998261
35.000000,49.882655
35.000000,49.931036
35.000000,49.999563
35.000000,50.000000
35.000000,50.000000
35.000000,49.803298
35.000000,49.989543
35.000000,50.000000
35.000000,49.999935
35.000000,49.999052
35.000000,50.000000
35.000000,50.000000
35.000000,49.992123
35.000000,49.974435
40.000000,49.999355
40.000000,49.996297
40.000000,50.000000
40.000000,50.000000
40.000000,50.000000
40.000000,49.995065
40.000000,49.897662
40.000000,49.729389
40.000000,49.997264
40.000000,50.000000
40.000000,49.998898
40.000000,50.000000
40.000000,50.000000
40.000000,49.999331
40.000000,50.000000
40.000000,50.000000
40.000000,50.000000
40.000000,49.965299
40.000000,49.999800
40.000000,49.883281
40.000000,50.000000
40.000000,50.000000
40.000000,49.636943
40.000000,49.968715
40.000000,50.000000
40.000000,48.894026
40.000000,45.215664
40.000000,48.125574
40.000000,49.758985
40.000000,49.906668
40.000000,50.000000
40.000000,50.000000
40.000000,50.000000
40.000000,50.000000
40.000000,49.431674
40.000000,50.000000
40.000000,49.959211
40.000000,49.654269
40.000000,50.000000
40.000000,50.000000
40.000000,50.000000
40.000000,50.000000
40.000000,49.968915
40.000000,49.999888
40.000000,50.000000
40.000000,49.967235
40.000000,49.530563
40.000000,49.994441
40.000000,49.882410
40.000000,50.000000
40.000000,50.000000
40.000000,50.000000
40.000000,49.993494
40.000000,50.000000
40.000000,45.853379
40.000000,50.000000
40.000000,40.075598
40.000000,49.942293
40.000000,50.000000
40.000000,49.845784
40.000000,49.972203
40.000000,50.000000
40.000000,50.000000
40.000000,50.000000
40.000000,50.000000
40.000000,50.000000
40.000000,42.791469
40.000000,49.988912
40.000000,50.000000
40.000000,50.000000
40.000000,49.999859
40.000000,49.999961
40.000000,50.000000
40.000000,50.000000
40.000000,49.534657
40.000000,50.000000
40.000000,50.000000
40.000000,50.000000
40.000000,49.982869
40.000000,47.971836
40.000000,48.872741
40.000000,49.683467
40.000000,49.999970
40.000000,49.927464
40.000000,50.000000
40.000000,48.634535
40.000000,49.997060
40.000000,50.000000
40.000000,49.932128
40.000000,49.924251
40.000000,49.948081
40.000000,49.424570
40.000000,48.790584
40.000000,50.000000
40.000000,50.000000
40.000000,50.000000
40.000000,49.786090
40.000000,46.487554
40.000000,50.000000
40.000000,49.524866
40.000000,49.994874
40.000000,50.000000
40.000000,49.999487
40.000000,50.000000
40.000000,49.893861
40.000000,49.990654
